	Id	friends
0	HankRea	['OhMyMithrandir', 'BoricuaDesiree', 'SamhainNight', 'nerdypoc', 'OdetteAnnable', 'comosedicenerd', 'LatinxGeeks', 'eatingb00ks', 'Chickensoupy', 'BiancaSams1', 'BeauDeMayo', 'cadlymack', 'fangirlsmash', 'TheWuReport', 'drinkpinkink', 'zackkaps', 'reelcomics', 'Steph_I_Will', 'GailSimone', 'soledadobrien', 'Poe_Noir', 'KristaAllenXO', 'lizwgarcia', 'RMoralesKearns', 'aurabogado', 'JoAnnaLGarcia', 'Indiadebeaufort', 'JasonRitter', 'Dustin_Ybarra', 'tiyasircar', 'danieldaekim', 'jordanzakarin', 'Abbey_Bender', 'thevaultcomics', 'aidyreviews', 'Dominique_Remy', 'joseiswriting', 'Travon', '1sroberts', 'iamcardib', 'YulVazquez', 'DeeDee_Hodge', 'RoseMarie4Real', 'yaritafrita', 'l_moraniglesias', 'ComicComadres', 'hrtbrokentweets', 'eizamusica', 'blogdiva', 'miblogestublog', 'mzMichGarcia', 'MFHATER', 'meeksmedia', 'DaniaJRamirez', 'TheMenaceDenis', 'willpowerpacker', 'angelicabastien', 'julieplec', 'JainaLeeOrtiz', 'hairoline', 'adcfanboy', 'BHMatter', 'hectorcortez', 'autumnnoelkelly', 'RealCharlaine', 'JazmynSimon', 'Rodriguez', 'nancywyuen', 'infoCinelandia', 'ParisaFH', '_ChristopherM', 'IWriteAllDay_', 'MJAcostaTV', 'SnowThaProduct', 'nidia_b', 'HeatherMatarazz', 'SeanCartin_EP', 'silviamg', 'SassyMamainLA', 'MichelleObama', 'kaytaylorrea', 'OnScreenHeroics', 'JonNegroni', 'bimmerella', 'kindamoviesnob', 'ryeisenberg', 'YetideBadaki', 'ChristianLN0821', 'ProPublica', 'MorganicInk', 'TheAngelaKo', 'Chicano_Soul', 'LuisadOliveira', 'YOSOYCORDOVA', 'tehlorkay', 'JHenwick', 'EmilioRivera48', 'mexopolis', 'missmads', 'rizmc', 'oliverstarkk', 'danielwuyanzu', 'TheNerdsofColor', 'lamolecomiccon', 'LatinoUSA', 'LatinoVoices', 'NBCLatino', 'REMEZCLA', 'ConstanceWu', 'NoTotally', 'mayansmcfans', 'RealTomHankz', 'CeciliaVega', 'MickaelleBizet', 'marisolnichols', 'TheLewisTan', 'iamstephbeatz', 'Araksya', 'cardenasclayton', 'emilysears', 'Freeyourmindkid', 'ValerieComplex', 'ArielaBarer', 'sarahkendzior', 'ObamaWhiteHouse', 'ObamaFoundation', 'BarackObama', 'chancetherapper', 'summerbrennan', 'zakiscorner', 'mustgeektv', 'JohnLegere', 'ReignOfApril', 'KamalaMagic', 'QuirkyRican', 'MsSamCam', 'TessaThompson_x', '1NatalieMaines', 'ComicBookTalks', 'msdanifernandez', 'BOUNCE_COMIC', 'Uldouz', 'RaquelReichard', 'joss', 'JacksonLanzing', 'officialrickg', 'JMunozActor', 'Lin_Manuel', 'theblerdgurl', 'GraceParra360', 'Kugalimedia', 'secondkoan', 'OriginalFunko', 'julieroginsky', 'MuseZack', 'soslyne_ana', 'soalexgoes', 'PamGrier', 'whitneyd', 'KiraJW', 'RollingStone', 'kdc', 'linzzmorgan', 'YAWednesdays', 'robertcyoung', 'POPSUGARLatina', 'JulieCarmen3', 'iliza', 'sjbelmont', 'FrankTieri', 'WonderWomanFilm', 'AfterShockComix', 'Doncates', 'GamerGirl_Vixen', 'andreziffy', 'ManVsRock', 'SigmanStephanie', 'everythingloria', 'angeliqueivette', 'SFLatinoFilm', 'djolder', 'iamlaurenp', 'JoshSHenaman', 'SaraSalim', 'marcusthevisual', 'lettyluvslife', '4lisaguerrero', 'LAWeeklyArts', 'sbeneville', 'LongBeach_CC', 'screencrushnews', 'WIRED', 'Karnythia', 'BilgeEbiri', 'jrome58', 'nelsonblake2', 'juan_gedeon', 'The_GWW', 'Elana_Brooklyn', 'TLaTela']
1	TanmayDC777	['NeoCruxGaming', 'animatorsupport', 'LDMusicInc', 'HansMichielscom', 'dwsimborg1', 'KungFuComics1', 'iNDiE_GRAVy', 'InkaYlisarkki', 'geek_beyond', 'David_Leavitt', 'AaronNorthcott', 'SOGROsm', 'gangofyouths', 'FRINGEonFOX', 'reviewgeeksite', 'ZenSocialKarma', 'WhyImCAS', 'magpielifeLA', 'SkylerJesseD', 'CASAVENTARIA', 'RobinsShadow', 'GrowUrStartup', 'mayotl', 'NatalieNTara', 'DiCaprioFanssss', 'ComicBooksTalk', 'SuperHiveDC', 'ComicBookWire', 'authorbytes', 'TheDarkTapes', 'PeterHamerProd', 'cosmodez', 'johnhall', 'InnoLeaders', 'DCEUnited', 'dcbrosmedia', 'TheAstroBlog', 'GFACCORD', 'AwesomeEarthPix', 'HisTheShit', 'RFKemp462', 'vonbarkenberg', 'mwsonnenfeldt', 'Bluray_Dan', 'DCDailyDrop', 'BrandonHebor', 'ToShawnAnderson', 'netana_80', 'Valerie_Perez', 'qualcomm_in', 'arcticninjapaul', 'oheather1337', '12DAYSOFMOVIES', 'TouchLuckyUK', 'TonyScottAstley', 'OtanerTech', 'ImperiousLex', 'wellbelove', 'dam_Damkjer', 'THEBRYANHITCH', 'LuvSydneyMarie', 'skeyasengupta', 'SDCBlind', 'LastManClub', 'MattStoicSteady', 'Jrnotjnr', 'ZachNelsonMusic', 'Aniket__21', 'geek_king', 'isaacrthorne', 'MarshallJulius', 'iamRobONeill', 'DCEUFeed', 'KarenFukuhara', 'larryfong', 'ClayEnos', 'RealLoveTahnee', 'theAAchannel', 'SlideBotIO', 'vanheimfilms', 'DCEU_Society', 'adultswim', 'ImHarmanpreet', 'DwaynesFansss', 'DcSkwad', 'f_francavilla', 'TomKingTK', 'fukujang0627', 'Karina_Hanssen', 'BreakAllPro', 'lindeelink', 'angelaAchavez', 'Hawkworld_', 'katrinalaw', 'prakashhits', 'realamberheard', 'SinghLions', 'Steve_S_1967', 'SpaceEnquiry', 'AnnaKFaris', 'CNconnienielsen', 'dignextgen', 'CDO_Insights', 'theonedevguru', 'dig_revolution', 'AlysonTabbitha', 'globaldatamaker', 'SpacenLights', 'michael_mikol', 'HikariTitan', 'WorldViaPhotos', 'LiteraryTitan', 'BMGFIndia', 'JokeBlogger', '13isGodsend', 'CNLastro', 'TerryMatalas', 'BarackObama', 'nutanix', 'JeremiahBlanch', 'veobot', 'startupsco', 'annaborchert', 'thenerdstake', 'JackPhan', 'sspencer', 'Tibet4Fun', 'RachelintheOC', 'BadRedheadMedia', 'RockyKanaka', 'TheRealLukevans', 'ShoutOUTmyBook', 'MindsConsol', 'LawTrades', 'Labmate_online', 'alydenisof', 'SarahMGellar', 'MarkRuffalo', 'joss', 'archerfxx', 'imrosemciver', 'iZombieWriters', 'RahulKohli13', 'GoogleExpertUK', 'PrepLiveThrive', 'IMakeIndieGames', 'mtjsblog', 'SuperfanHM', 'tommeelopez', 'IntiajulAlam', 'SurvivalPulse', 'justin_baby60', 'tetragonworks', 'StartSomeGood', 'Astro_Wright', 'tsboyajian', 'stjepansejic', 'RobertGarciaLB', 'iloveposters', 'QunkiCom', 'ArtLifeTrav', 'LisaInTheNow', 'martinjack3851', 'SchadenJake', 'JamesGavsie', 'McBrideMagic', 'teslaliving', 'laurynwendus', 'VantagePointGuy', 'wesdinwiddie', 'mittmarney', 'HansZimmer', 'chloe_vind', 'InfinityWarFans', 'MaiaRayn', 'SuitsAndLies', 'ZacKent96', 'anotherworld010', 'Hilariousrousts', 'AnsquerY', 'BroadcastBeat', 'ArrogantPixel', 'jcbiii', 'JustDoumit', 'MassiveMonsters', 'wtimage', 'GamerProLagged', 'justinalba', 'techtly', 'HumorHump', 'Live_for_Films', 'Alex_Polinsky', 'LindaBreidbach', 'Moto_Support', 'motorolaindia', 'cammipham', 'SuprMaryFace', 'Awarenergy', 'Srv1221', 'rayaleksandr']
2	BrianIpuche28	['SonicFox5000', 'rianjohnson', 'BethesdaStudios', 'es_fandom', 'eizamusica', 'DeborahAnnWoll', 'alanritchson', 'espinof_com', 'yovoyalcine', 'SNKPofficial', 'DavidKHarbour', 'Junkie_XL', 'Mike_Dougherty', 'eliroth', 'andyparkart', 'yvrshoots', 'WhatsFilming', 'Dolph_Lundgren', 'JCVD', 'TheScottAdkins', 'AtlantaFilming', 'rosariodawson', 'DcComicsUnited', 'Newsarama', 'AnimatedJL', 'EverydayAFrame', 'fukujang0627', 'CBCebulski', 'DC_Animated', 'CarlitoxR20', 'amazingcomicx', 'SoyComicsTj', 'ElbatsiOficial', 'AlejoZaaap', 'GloudGames', 'PortalFutboI', 'jolivarestolosa', 'ElProfesorGamer', 'KristianHarloff', 'AshCrossan', 'Russo_Brothers', 'DAlter007', 'Asherdovangel', 'bverhoev', 'adamchitwood', 'antovolk', 'dceufacts', 'rachmeetsworld', 'SuperheroNewsCB', 'ConnorFilm', 'WilliamBibbiani', 'FilmClickbait', 'MultiplexCines', 'maxjoseph', 'CapedJoel', 'SherazFarooqi_', 'GraceRandolph', 'jordiporn', 'simpsonsfilms', 'DanielRPK', 'OGJOHNNY5', 'JimViscardi', 'MikeKalinowski', 'donkaye', 'HaleighFoutch', 'ajhan', 'sylvioso', 'MrSeanGerber', 'PNemiroff', 'JLDlite', 'NateBrail', 'xARiiAN', 'TOBBALink', 'F_deFIFA', 'DoctorePoLLo', 'cachoo01', 'DjMaRiiO_90', 'TheCinegogue', 'sjnews', 'netflixfamily', 'benfritz', 'robbiedaymond', 'BenHBailey', 'JoshuaYehl', 'rejects', 'KevinMcCarthyTV', '_samliu_', 'jayoliva1', 'ManaByte', 'andysignore', 'Jawiin', 'cbumbray', 'arcticninjapaul', 'ScottCollura', 'TheMattFowler', 'TheEricGoldman', 'RothCornet', 'JimVejvoda', 'Terri_Schwartz', 'ConnerWS', 'BrandonDavisBD', 'rob_keyes', 'aaronsagers', 'krolljvar', 'markhughesfilms', 'stevendeknight', 'thedanjurgens', 'ZacharyLevi', 'Fandango', 'ThePlaylist', 'Eurogamer_es', 'CAF_Media', 'CONCACAFEspanol', 'Sub17Chile2017', 'PauDybala_JR', 'gianluigibuffon', 'hazardeden10', 'Ibra_official', 'GarethBale11', 'thibautcourtois', 'AlvaroMorata', 'MarceloM12', 'DaniCarvajal92', 'BeachSoccer_WW', 'Oficial_RC3', 'RvN1776', 'Deco20oficial', 'ESPNMarioKempes', 'D_DeGea', 'Pele', 'delpieroale', 'neymarjr', 'FIFAeWorldCup', 'LuisSuarez9', 'alexmorgan13', 'CONCACAF', 'fifamedia', 'FIFATMS', 'CAF_Online', 'TwitterLatAm', 'GettySport', 'MLS', 'EuroQualifiers', 'FIFPro', 'afa', 'futbolMLS', 'OlympicCh_es', 'juegosolimpicos', 'FIFAMuseum', 'UEFAcom_es', 'cracks_oficial', 'FIFAcom', 'VenomMovie', 'AquamanShrine', 'ThinkHero', 'louisde2', 'RogueCheddar', 'WWEUniverse', 'WWE', 'WrestleMania', 'WWENetwork', 'WWENXT', 'WWEgames', 'teloresumo', 'StudioMDHR', 'NewMutantsFilm', 'PremiosFenix', 'HipHopNation', 'HipHopAwards', 'scottEweinberg', 'Cakes_Comics', 'TeenTitansMovie', 'JennaBusch', 'ErikDavis', 'slashfilm', 'BestEarthPix', 'GermainLussier', 'eeisenberg', 'MessyPandas', 'DCEUnited', 'Saythetitle', 'RealEOC', 'trailertrack', 'D_MacPherson', 'movieweb', 'comingsoonnet', 'SavageComics', 'MoebiusArt1', 'WalterSimonson', 'KirbyKrackleArt', 'JohnBuscemaArt', 'MakingOfs', 'FilmHistoryPics', 'LaFamiliaFilm', 'CoolComicArt', 'thealexrossart', 'NetflixIsAJoke', 'tombraider', 'SquareEnix', 'FinnWittrock']
3	JeremyGuevara17	['CycloMusic', 'mujerescannabis', 'Kronnomc', 'camedaargentina', '8choOficial', 'BasicSeeds', 'YonkiDeLaMancha', 'Kienfumaelpuma', 'GyalBorde', 'MadamGrifa', 'soulofrasta', 'rapfumado', 'diariode1fumeta', 'el_tirandela', 'eostoner', 'malborillo', 'golloelcogollo', 'MARIJUANAM4N', 'ManaByte', 'OsitoFumonOFI', 'MamaCultivaArg', 'revistacanamo', 'lamarihuana', 'mycherrycrush', 'NadiaSmalls_', 'Dinafem', 'BuddhaSeeds', 'raroweed', 'expogrowirun', 'alchimiaGrow', 'auroraval1', 'soares_biana', 'guapa_69_les', 'fersw82', 'billordosh', 'Nicky_Ferrari', 'cristalaxxx', 'issavegas', 'celeztecruz', 'PhiloSeeds', 'revistaTHC', 'psicoactivo', 'timeweed', 'MamaCultiva', 'CultivaConce', 'FundacionDaya', 'CultivaValpo', 'movimental', 'SernacCannabico', 'triagrama', 'mariadiostesalv', 'MarihuanaCL', 'Adriangsilva', 'sr_alienigena', 'memuerodesida', 'drsanjaygupta', 'WeedPorns', 'flamenkitakay', 'SunnyLeone', 'miakhalifa', 'SashaGrey', 'YouTube', 'CNN', 'nytimes', 'DisneylandToday', 'Disneyland', 'DisneyParks', 'WaltDisneyWorld', 'Disney', 'DisneyPixar', 'DisneyStudios', 'SonyPictures', 'MGM_Studios', '20thcenturyfox', 'ParamountPics', 'UniversalPics', 'wbpictures', 'DarthVader', 'DCComics', 'DeathStarPR', 'Marvel', 'DepressedDarth', 'starwars', 'TWD_ES', 'TWD_SPAIN', 'TWD5porFOX', 'CaminantesARG', 'Mufalsa', 'NetflixLAT', 'Asturianix98', 'Seriepolis', 'RickMortyTV', 'OyeWhatsapp', 'WhatsApp', 'AlexisGamePlayy', 'TheGrefgYT', 'TSDFArmy', 'eldiariodedross', 'finkd', 'BillGates', 'LyonGamingLoL', 'riotgames', 'lolesportslan', 'LeagueOfLegends', 'LoLLANOficial', 'PlayStation_LA', 'PlayStationES', 'luisguillermosr', 'noticiarepretel', 'crhoycom', 'telenoticias7']
4	ClaudeRescu	['rachnan', 'demishassabis', 'MFordFuture', 'itsonlyjames_', 'ProjHappening4', 'blinkist', 'AWEichenlaub', 'phillips_em', 'ChuckWendig', 'MarkRober', 'Robot_Magazine', 'planetrobotics', 'PodcastEdtech', 'NASA_Technology', 'Space_Station', 'Cal_Engineer', 'TheEngineerUK', 'StanfordEng', 'MartianMovie', 'andyweirauthor', 'engineering', 'LAIreland', 'drones', 'DCComicsTV', 'lewisshepherd', 'johnbrenkus_', 'maggiekb1', 'jimmyfallon', 'RoboWunderkind', 'RobertDowneyJr', 'bad_robot', 'helolite', 'SpaceMonkey10', 'NASAJPL', 'elonmusk', 'SpaceX', 'maxkellerman', 'xkcd']
